name,lat,lon,str
BRUNOS ON THE BOULEVARD 88-25 ASTORIA BOULEVARD New York NY 11369,40.7643124,-73.8803827,"{lng=-73.8803827, lat=40.7643124}"
WILD ASIA 2300 SOUTHERN BOULEVARD New York NY 10460,40.8502883,-73.8786113,"{lng=-73.8786113, lat=40.8502883}"
P & S DELI GROCERY 730 COLUMBUS AVENUE New York NY 10025,40.7925587,-73.9680572,"{lng=-73.96805719999999, lat=40.7925587}"
ANGELIKA FILM CENTER 18 WEST HOUSTON STREET New York NY 10012,40.7250632,-73.9976946,"{lng=-73.9976946, lat=40.7250632}"
SHASHEMENE INT'L RESTAURA 195 EAST 56 STREET New York NY 11203,40.6515882,-73.9330429,"{lng=-73.93304289999999, lat=40.6515882}"
CARVEL ICE CREAM 1006 EAST 233 STREET New York NY 10466,40.8887394,-73.8477874,"{lng=-73.8477874, lat=40.8887394}"
LEXLER DELI 405 LEXINGTON AVENUE New York NY 10174,40.7516269,-73.97535,"{lng=-73.97534999999999, lat=40.7516269}"
SNACK TIME GRILL 87-69 LEFFERTS BOULEVARD New York NY 11418,40.7001121,-73.8309503,"{lng=-73.8309503, lat=40.7001121}"
MITCHEL LONDON FOODS 22 EAST 65 STREET New York NY 10065,40.7645239,-73.9624327,"{lng=-73.96243270000001, lat=40.7645239}"
SPOON BREAD CATERING 364 WEST 110 STREET New York NY 10025,40.7999209,-73.9683102,"{lng=-73.96831019999999, lat=40.7999209}"
TERMINAL CAFE/YANKEE CLIPPER 0 GUARDIA AIRPORT PARKING New York NY 11371,40.7766392,-73.87425,"{lng=-73.87425, lat=40.7766392}"
PLAZA BAGELS & DELI 73 NEW DORP PLAZA New York NY 10306,40.5734023,-74.1177623,"{lng=-74.1177623, lat=40.5734023}"
B & M HOT BAGEL & GROCERY 203 GIFFORDS LANE New York NY 10308,40.5564316,-74.1523097,"{lng=-74.1523097, lat=40.5564316}"
TEXAS ROTISSERIE 94 FULTON STREET New York NY 10038,40.7092038,-74.0061936,"{lng=-74.0061936, lat=40.7092038}"
MANHEM CLUB 658 CLARENCE AVE New York NY 10465,40.829411,-73.81364,"{lng=-73.81363999999999, lat=40.82941100000001}"
OLD TOWN BAR & RESTAURANT 45 EAST 18 STREET New York NY 10003,40.7322535,-73.9874105,"{lng=-73.9874105, lat=40.7322535}"
BEN-BEST DELI & RESTAURANT 96-40 QUEENS BOULEVARD New York NY 11374,40.7295323,-73.8613499,"{lng=-73.8613499, lat=40.7295323}"
DONOHUE'S STEAK HOUSE 845 LEXINGTON AVENUE New York NY 10065,40.765431,-73.965531,"{lng=-73.965531, lat=40.765431}"
DINING ROOM . ALLEN TRIPO New York NY 10075,40.7728432,-73.9558204,"{lng=-73.9558204, lat=40.7728432}"
NEW PARK PIZZERIA & RESTAURANT 156-71 CROSSBAY BOULEVARD New York NY 11414,40.7048296,-73.8160989,"{lng=-73.8160989, lat=40.7048296}"
MELODY LANES 461 37 STREET New York NY 11232,40.6527418,-74.0028771,"{lng=-74.00287709999999, lat=40.6527418}"
SHELL LANES 1 BOUCK COURT New York NY 11223,40.5888453,-73.9735108,"{lng=-73.9735108, lat=40.5888453}"
SOUTH SHORE SWIMMING CLUB 6736 HYLAN BOULEVARD New York NY 10309,40.507255,-74.22679,"{lng=-74.22679, lat=40.507255}"
MAY MAY KITCHEN 1269 SUTTER AVENUE New York NY 11208,40.6731108,-73.8711024,"{lng=-73.8711024, lat=40.6731108}"
STEVE CHU'S DELI & GROCERY 3406 10 STREET New York NY 11106,40.7595044,-73.9271644,"{lng=-73.9271644, lat=40.7595044}"
COMO PIZZA 4035 BROADWAY New York NY 10032,40.8422945,-73.9395182,"{lng=-73.9395182, lat=40.8422945}"
ANGELO OF MULBERRY ST. 146 MULBERRY STREET New York NY 10013,40.7188698,-73.9973041,"{lng=-73.9973041, lat=40.7188698}"
PANCHITO'S 103 MACDOUGAL STREET New York NY 10012,40.729795,-74.001043,"{lng=-74.001043, lat=40.729795}"
SPAIN RESTAURANT & BAR 113 WEST 13 STREET New York NY 10011,40.7464969,-74.0094471,"{lng=-74.0094471, lat=40.7464969}"
PALACE CAFE 206 NASSAU AVENUE New York NY 11222,40.7253944,-73.9446421,"{lng=-73.9446421, lat=40.7253944}"
KING YUM RESTAURANT 181-08 UNION TURNPIKE New York NY 11366,40.7271349,-73.786481,"{lng=-73.786481, lat=40.7271349}"
J&V FAMOUS PIZZA 6322 18 AVENUE New York NY 11204,40.6195067,-73.9859414,"{lng=-73.9859414, lat=40.6195067}"
GARGIULO'S RESTAURANT 2911 WEST 15 STREET New York NY 11224,40.5749261,-73.9859414,"{lng=-73.9859414, lat=40.5749261}"
PATSY'S ITALIAN RESTAURANT 236 WEST 56 STREET New York NY 10019,40.7686973,-73.9918181,"{lng=-73.9918181, lat=40.7686973}"
MCDWYERS PUB 331 EAST 204 STREET New York NY 10467,40.8723987,-73.8713099,"{lng=-73.8713099, lat=40.8723987}"
BLARNEY BAR 146-09 JAMAICA AVENUE New York NY 11435,40.702028,-73.808593,"{lng=-73.808593, lat=40.702028}"
HEALY'S PUB 10807 ROCKAWAY BEACH BOULEVARD New York NY 11694,40.5812137,-73.8299395,"{lng=-73.8299395, lat=40.5812137}"
FIFTH AVENUE BINGO 416 5 AVENUE New York NY 11215,40.6681669,-73.9800645,"{lng=-73.9800645, lat=40.6681669}"
3 STAR COFFEE SHOP 541 COLUMBUS AVENUE New York NY 10024,40.7865322,-73.9721743,"{lng=-73.97217429999999, lat=40.7865322}"
THREE STAR RESTAURANT 1611 AVENUE U New York NY 11229,40.599217,-73.955074,"{lng=-73.955074, lat=40.599217}"
BRENNAN & CARR 3432 NOSTRAND AVENUE New York NY 11229,40.60021,-73.942194,"{lng=-73.942194, lat=40.60021}"
SHIMONS KOSHER PIZZA 71-24 MAIN STREET New York NY 11367,40.7272651,-73.8221567,"{lng=-73.8221567, lat=40.7272651}"
THE RIVIERA CAFE 225 WEST 4 STREET New York NY 10014,40.7366138,-74.0094471,"{lng=-74.0094471, lat=40.7366138}"
LI GRECIS STAATEN RESTAURANT 697 FOREST AVENUE New York NY 10310,40.629819,-74.112238,"{lng=-74.11223799999999, lat=40.629819}"
SHUN LEE PALACE RESTAURANT 155 EAST 55 STREET New York NY 10022,40.7593941,-73.9697795,"{lng=-73.9697795, lat=40.7593941}"
TAMAQUA 84 EBONY COURT New York NY 11229,40.5943372,-73.9300263,"{lng=-73.9300263, lat=40.5943372}"
MUNCHTIME 21 EAST 170 STREET New York NY 10452,40.8376318,-73.9212858,"{lng=-73.92128579999999, lat=40.8376318}"
BURGER HEAVEN 9 EAST 53 STREET New York NY 10022,40.7593941,-73.9697795,"{lng=-73.9697795, lat=40.7593941}"
CARA MIA 220-20 HILLSIDE AVENUE New York NY 11427,40.7308061,-73.7427047,"{lng=-73.74270469999999, lat=40.7308061}"
IHOP 4340 BOSTON ROAD New York NY 10475,40.889891,-73.819324,"{lng=-73.819324, lat=40.889891}"
RICHMOND COUNTY COUNTRY CLUB 135 FLAGG PLACE New York NY 10304,40.58834,-74.104656,"{lng=-74.10465599999999, lat=40.58834}"
DA VINCI PIZZA 6514 18 AVENUE New York NY 11204,40.6195067,-73.9859414,"{lng=-73.9859414, lat=40.6195067}"
TWINS PUB 421 9 AVENUE New York NY 10001,40.7536854,-73.9991637,"{lng=-73.9991637, lat=40.75368539999999}"
JG MELON RESTAURANT 1291 3 AVENUE New York NY 10021,40.7700703,-73.9580246,"{lng=-73.9580246, lat=40.7700703}"
FLAME RESTAURANT COFFEE HOUSE 893 9 AVENUE New York NY 10019,40.7686973,-73.9918181,"{lng=-73.9918181, lat=40.7686973}"
LENNY'S CLAM BAR 16103 CROSSBAY BOULEVARD New York NY 11414,40.7048296,-73.8160989,"{lng=-73.8160989, lat=40.7048296}"
EL GRECO DINER 1821 EMMONS AVENUE New York NY 11235,40.5835393,-73.9502413,"{lng=-73.9502413, lat=40.5835393}"
